Javier Milei,Sergio Massa,Patricia Bullrich,Juan Schiaretti,Myriam Bregman,isPartial
1,0,1,0,1,False
2,1,1,0,0,False
2,1,1,0,0,False
2,1,1,0,0,False
1,1,1,0,0,False
1,1,1,0,0,False
1,1,1,0,0,False
1,2,1,0,0,False
1,1,1,0,0,False
5,0,1,0,0,False
2,1,1,0,0,False
2,1,1,0,0,False
1,1,1,0,0,False
6,1,2,0,0,False
2,2,2,0,0,False
2,2,2,0,0,False
1,1,1,1,0,False
2,1,1,1,0,False
1,1,1,0,0,False
1,2,2,1,0,False
1,1,2,1,0,False
1,2,1,6,0,False
1,3,3,1,0,False
1,5,2,0,0,False
1,5,1,0,0,False
1,9,1,0,0,False
1,3,1,0,0,False
1,1,1,0,0,False
1,1,24,0,0,False
2,1,4,0,0,False
1,1,3,0,0,False
1,1,1,0,0,False
2,1,1,0,0,False
1,2,1,0,1,False
4,4,2,0,1,False
2,1,4,0,0,False
2,0,1,0,0,False
3,1,1,0,0,False
2,1,2,0,0,False
2,0,1,0,0,False
4,1,1,0,0,False
2,0,1,0,0,False
2,1,2,0,1,False
2,1,1,0,1,False
2,1,2,0,2,False
2,3,3,0,4,False
2,1,1,0,0,False
1,1,1,0,0,False
1,0,1,0,0,False
1,0,1,0,0,False
1,2,2,0,0,False
2,3,1,0,0,False
2,1,2,0,0,False
1,0,1,0,0,False
2,0,1,0,0,False
1,1,1,0,0,False
1,1,1,0,0,False
1,1,1,0,0,False
1,1,1,0,0,False
1,0,1,0,0,False
1,0,1,0,0,False
1,0,1,0,0,False
1,1,1,0,0,False
1,1,1,0,0,False
1,1,1,0,0,False
1,1,1,0,0,False
1,1,1,0,0,False
2,1,1,0,0,False
2,0,1,0,0,False
2,1,1,0,0,False
2,0,1,0,0,False
2,1,1,0,0,False
2,1,2,0,0,False
1,1,3,0,0,False
1,1,1,0,0,False
4,0,1,0,0,False
1,0,2,0,0,False
1,1,1,0,0,False
1,0,1,0,0,False
1,0,1,0,0,False
1,0,1,0,0,False
1,0,3,0,0,False
1,0,2,0,0,False
1,0,1,0,0,False
3,0,1,0,0,False
1,1,1,0,0,False
1,1,1,0,0,False
1,0,3,0,0,False
1,1,2,0,0,False
1,4,12,0,0,False
1,1,7,0,0,False
1,0,2,0,0,False
2,1,2,0,0,False
4,1,1,0,0,False
5,1,6,0,0,False
2,0,2,1,0,False
2,2,1,0,0,False
2,0,2,0,0,False
1,0,0,0,0,False
2,0,2,0,0,False
1,1,1,0,0,False
1,0,1,0,0,False
1,1,1,0,0,False
1,1,2,0,0,False
1,0,1,0,0,False
1,0,1,0,0,False
1,1,1,0,0,False
1,0,1,0,0,False
1,0,0,0,0,False
